id	SRR11961372	SRR11961374	SRR11961376	SRR11961380	SRR11961381	SRR11961383	SRR11961389	SRR11961391	SRR11961392	SRR11961394	SRR11961398	SRR11961400	SRR11961402	SRR11961405	SRR11961407	SRR11961411	SRR11961413	SRR11961425	SRR11961436	SRR11961446	SRR11961448	SRR11961452	SRR11961453	SRR11961457	SRR11961458	SRR11961459
Group	none	adult acne	perioral dermatitis	adult acne	none	perioral dermatitis	adult acne	perioral dermatitis	none	perioral dermatitis	perioral dermatitis	adult acne	adult acne	adult acne	perioral dermatitis	perioral dermatitis	adult acne	none	none	none	none	none	none	none	none	none
OTU_139	0	426	0	10	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
OTU_140	0	0	0	0	0	0	0	0	0	0	0	328	0	0	114	0	0	0	0	0	0	0	0	0	0	0
OTU_141	0	0	242	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0
OTU_142	154	0	0	0	0	0	207	0	25	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	41	0
OTU_143	103	0	0	0	0	71	39	119	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0
OTU_144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	0	0	0	0
OTU_145	0	0	0	0	0	0	0	0	0	0	0	197	0	223	0	0	0	0	0	0	0	0	0	0	0	0
OTU_146	0	0	49	0	0	0	0	0	0	141	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_147	0	12	0	62	0	0	33	23	0	0	0	0	28	0	0	41	0	0	0	0	31	150	0	0	0	36
OTU_148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	0	0	0	0	0	0	0	0	0	0	0
OTU_149	0	10	0	0	0	36	0	0	0	0	0	0	0	0	53	73	6	0	0	0	0	217	0	0	0	0
OTU_150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0
OTU_151	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0
OTU_152	0	0	355	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_153	0	0	0	10	0	9	18	17	13	0	0	0	0	5	0	139	28	0	0	0	0	120	0	0	0	0
OTU_154	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0
OTU_156	0	0	0	188	0	59	0	0	0	0	0	0	20	90	0	0	0	0	0	0	0	0	0	0	0	0
OTU_157	0	6	0	188	0	0	0	0	0	0	0	0	20	11	0	94	0	0	0	0	0	0	0	0	37	0
OTU_158	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0
OTU_159	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_160	0	0	19	0	0	38	0	0	0	0	92	0	25	0	17	0	0	0	0	0	0	0	0	72	57	0
OTU_161	0	77	0	71	0	0	49	0	0	0	12	0	45	0	29	0	12	0	0	19	0	0	0	0	0	0
OTU_162	0	0	0	174	0	12	0	0	0	96	0	0	19	0	0	0	0	0	0	0	0	0	0	0	13	0
OTU_163	0	0	14	49	0	37	0	12	0	0	0	0	38	53	28	0	0	0	0	6	0	0	0	70	0	0
OTU_164	0	0	0	0	0	268	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_165	0	0	150	0	18	117	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_166	0	12	18	28	13	20	0	11	0	17	68	0	55	0	8	4	5	0	0	0	0	0	8	20	0	6
