ID	TCGA-2V-A95S-01A-11R-A37K-07_LIHC_TP	TCGA-2Y-A9GS-01A-12R-A38B-07_LIHC_TP	TCGA-2Y-A9GU-01A-11R-A38B-07_LIHC_TP	TCGA-BC-A10Q-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10T-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10W-11A-11R-A131-07_LIHC_NT	TCGA-3C-AAAU-01A-11R-A41B-07_BRCA_TP	TCGA-3C-AALJ-01A-31R-A41B-07_BRCA_TP	TCGA-3C-AALK-01A-11R-A41B-07_BRCA_TP	TCGA-A7-A0CE-11A-21R-A089-07_BRCA_NT	TCGA-A7-A0CH-11A-32R-A089-07_BRCA_NT	TCGA-A7-A0D9-11A-53R-A089-07_BRCA_NT
Group	LIHC_TP	LIHC_TP	LIHC_TP	LIHC_NT	LIHC_NT	LIHC_NT	BRCA_TP	BRCA_TP	BRCA_TP	BRCA_NT	BRCA_NT	BRCA_NT
C1R|715	9.34391	10.3018	9.54173	11.4902	11.2659	11.2888	6.86101	8.16067	8.72715	9.70585	9.54078	9.2277
IGFBP1|3484	11.139	7.48156	8.55603	10.8229	9.02642	11.4784	0	0.592568	0	5.09511	0.921904	0
TAT|6898	5.85793	10.2178	9.93052	11.4775	9.51363	10.8774	2.85512	6.46878	8.57658	8.31355	7.41052	1.47878
LCN2|3934	11.4393	5.84064	2.791	4.40249	4.7182	5.48894	0.368462	0.592568	5.12731	5.40959	5.42515	4.34365
SERPINF2|5345	10.8911	10.497	11.1225	11.4284	11.1112	11.3358	3.11814	4.72092	4.69296	6.63672	5.08047	4.19269
HLA-C|3107	11.4262	10.8335	10.0155	10.0185	9.43004	10.6813	9.47109	9.79518	9.5713	9.5649	9.8087	9.20449
GSTA1|2938	9.5722	11.4177	10.868	10.7967	10.6076	10.7958	0.592568	6.85288	1.60518	4.7942	4.64498	4.59155
SLC39A6|25800	7.33954	7.34084	6.97915	7.57815	6.99485	7.27031	11.416	9.6689	9.85397	10.2757	8.74565	7.53214
UBD|10537	11.4059	10.4043	7.06647	6.41836	6.2691	7.77486	3.87066	6.58044	5.83094	5.61319	6.32508	4.01902
VIM|7431	9.33616	9.54395	8.52853	8.30449	8.93669	8.88287	8.94897	10.1314	10.1088	10.6927	11.3997	11.7946
F2|2147	10.8875	10.9341	11.3858	11.3986	11.0461	10.986	0.592568	0.592568	0	0	0	0
ENO1|2023	10.4058	11.3968	10.0625	9.68533	9.63417	10.2082	9.31821	9.38181	9.59963	9.70996	9.80444	9.6262
APOD|347	4.79013	3.90998	1.89752	4.6144	4.09727	4.32068	5.20938	6.37756	10.0964	9.40714	11.3815	9.57803
AHNAK|79026	9.65201	10.8211	9.40927	9.44557	9.41865	9.46583	10.9789	9.82069	10.2039	10.7276	11.3805	12.3905
IFITM3|10410	11.3517	10.6393	9.02329	10.2447	10.3359	10.4546	7.63396	9.55969	9.38095	9.70906	9.21132	8.713
HSPA8|3312	10.4705	11.3454	10.5046	9.38982	10.3144	9.77309	10.2737	9.27205	9.7774	10.1212	9.888	9.90237
GSN|2934	8.34806	8.72599	7.48212	7.44542	7.58934	8.97639	8.17099	9.11621	9.36048	10.1222	11.3453	11.8038
TFR2|7036	8.57035	10.5551	11.3333	10.6394	10.4027	10.0572	5.59525	4.56887	1.13645	2.34829	1.93721	1.56663
HPD|3242	2.66231	10.0016	9.22612	11.1422	10.5497	11.3174	0.592568	1.01848	3.42529	2.77931	7.24246	4.3752
RPL8|6132	11.3172	10.6382	9.64595	9.74975	9.70717	10.2229	9.87042	10.6824	10.2133	10.3385	10.1579	9.53724
IL32|9235	11.3095	10.3591	8.41737	8.58691	9.43468	10.3113	5.83341	7.40421	7.05749	6.60069	6.96118	6.3846
SULT2A1|6822	5.84932	10.1725	8.87599	10.5803	9.42755	11.3044	0	0	0	0	0	0
SERPINA5|5104	8.68575	9.75464	11.3044	10.3719	9.87287	9.8397	7.90267	7.19641	6.09514	7.7307	6.09088	6.68573
PEBP1|5037	10.152	10.7879	10.8274	10.9469	10.8207	11.2906	8.50769	9.24018	8.76848	9.17299	9.18266	9.02853
ALDH2|217	9.7065	10.8572	10.5252	11.2862	11.1455	10.9017	5.75471	7.05978	8.10071	7.95682	9.53308	10.4483
UBC|7316	11.0442	11.2841	10.5088	10.5899	10.0567	10.6324	10.4145	10.9361	10.656	10.6581	10.7983	11.0224
KRT19|3880	3.38818	5.76519	5.42935	7.74544	6.97915	7.78863	9.84101	11.2776	10.7263	9.96225	9.29369	6.57846
APCS|325	7.49998	9.94521	10.9031	10.8572	10.8129	11.2443	0.149823	0	0	0	0	0
AZGP1|563	8.0901	9.68016	10.502	11.226	11.1005	11.1486	9.89887	9.07222	10.1908	11.2161	10.3905	7.90461
ACSL1|2180	9.20251	9.83215	10.3302	11.2153	10.6617	10.6873	7.17648	7.39255	7.81739	7.8943	9.51804	10.6224
ADAM6|8755	11.0901	7.80017	6.89984	8.06996	9.62476	9.57577	9.06712	10.1662	9.95992	11.2021	11.209	7.45968
ADH1A|124	9.16366	10.4334	11.0015	10.7811	10.0008	11.2055	1.20446	2.69671	0.921904	3.56874	4.94742	6.36014
CPB1|1360	2.23873	1.51623	4.72646	4.57088	3.46196	4.13433	11.2022	7.6993	4.79326	8.69113	6.73934	4.3811
PLIN2|123	9.0444	9.25273	8.81552	9.86547	9.0608	11.1848	5.07447	7.52907	6.50482	7.37461	8.09674	8.53315
TMSB10|9168	11.1802	9.57997	8.33591	8.40559	8.23536	8.98845	8.48816	10.6738	10.2282	9.73717	9.84465	9.45683
ALDH1A1|216	10.2089	11.1707	10.4134	10.4844	10.1693	10.6469	4.83518	5.43971	5.76829	6.88338	7.7589	8.77759
HSP90AB1|3326	10.3117	11.1653	10.1521	9.53669	9.63345	9.8754	10.6652	10.3111	10.4062	10.17	10.0406	9.90262
CHGB|1114	1.39632	0.203355	0	0	0.368462	0.48025	11.1489	1.67929	1.35355	2.00469	3.0649	1.07196
EEF2|1938	11.042	11.1226	10.7552	10.7358	10.5478	10.8707	11.0922	10.6173	10.9871	11.1408	11.1193	10.8448
SCD|6319	11.1354	10.9708	10.1943	10.7792	10.0689	11.0037	7.10891	7.76412	9.97848	8.54932	10.899	10.474
CYP2D6|1565	7.93451	8.06338	9.23873	9.96275	8.40335	11.1319	2.80635	3.75712	2.83627	2.19293	1.39632	1.43354
AKR1C3|8644	9.74748	11.125	9.88858	8.11552	8.43381	8.73504	3.82493	5.62589	5.20973	6.86566	8.48842	8.61629
CYP2C8|1558	5.2575	8.7088	9.91036	11.105	11.1236	11.0043	2.82241	2.98334	1.36138	2.88053	1.82935	2.4046
XBP1|7494	9.95047	10.2911	10.4185	10.0446	10.6949	9.80598	10.5849	9.79859	11.1089	10.7198	10.165	7.81401
CFHR1|3078	8.98506	10.279	11.1066	9.90038	10.4452	10.5129	0.426515	0	0.592568	2.4421	0.86164	3.34232
HSPA1A|3303	9.16462	11.105	8.59063	9.02368	10.016	9.27195	9.75921	8.69983	9.35873	9.43426	9.40007	8.92601
BHMT|635	5.14166	8.84707	9.56444	11.1006	10.0726	10.3978	0.592568	0	0.685282	0.48025	2.23223	2.60656
TMBIM6|7009	10.6782	10.9688	10.6249	11.096	10.8502	11.0654	9.84226	9.74342	10.0965	9.92317	10.1377	9.90012
ADH1C|126	6.1203	10.5988	10.1165	10.494	10.2639	11.0922	0.716819	2.55634	3.2512	5.0267	6.1136	6.97469
INSIG1|3638	8.44591	9.36589	8.36124	11.077	10.0888	10.9812	6.35232	6.46314	7.56433	6.86168	6.92598	7.32636
C2|717	10.2239	11.0746	10.6654	10.4081	10.1329	10.4817	6.71532	6.77037	6.17692	6.98398	7.49123	6.88456
RPL19|6143	10.5611	10.6048	9.48288	9.83124	9.65995	10.0099	9.61227	10.556	11.0703	10.0208	9.97456	9.50674
ACSL4|2182	11.0692	9.04641	8.62263	7.87626	6.12468	6.44095	5.13916	6.10268	6.30922	6.96006	7.36252	7.94114
PDIA3|2923	10.3237	11.0691	10.1861	9.73553	9.23228	9.53985	9.78546	9.56036	9.33579	9.36815	9.17789	8.84525
SCGB2A2|4250	0	0	0	3.03189	1.9272	1.78955	11.069	0	6.061	8.73226	9.84136	4.5662
RPLP1|6176	10.5871	11.0677	9.70382	9.75609	9.70996	10.212	10.2798	10.1266	10.3097	10.4168	10.2204	9.5963
RPL3|6122	10.8507	10.8698	10.9113	10.5647	10.4295	10.5444	10.1088	10.2911	10.8233	11.0573	10.7999	9.95957
TKT|7086	9.41914	11.0538	6.85013	7.72091	7.75234	8.33902	8.0108	8.90172	8.12084	8.25802	8.86496	9.45496
CYP4A11|1579	7.62998	10.7602	10.1482	10.7811	11.0422	10.6006	0.592568	1.07196	1.33433	2.5548	3.49958	1.22475
WARS|7453	11.0417	8.12326	7.34601	7.22184	7.34472	7.61727	7.22431	7.6552	7.48789	7.78126	8.04177	8.01884
KRT18|3875	10.6329	10.6164	9.46575	10.467	10.4554	11.0187	8.77929	9.63442	10.256	9.42072	9.00091	5.51115
KRT8|3856	10.7867	10.8464	9.00309	10.384	10.487	11.0156	9.10593	10.0792	10.6695	9.75173	9.09746	6.12737
HSP90AA1|3320	10.5622	11.0117	10.4122	9.60925	9.82973	9.72484	9.97339	9.9183	10.1378	10.0296	9.83041	10.1093
ANPEP|290	9.43236	11.0085	10.552	9.92093	9.89631	10.2341	3.80815	7.50292	7.56347	7.9921	8.14405	7.0674
IGFBP4|3487	8.69668	10.7179	9.83639	11.008	10.3562	10.9278	10.2105	10.1523	10.02	10.7537	10.0625	9.45687
G6PC|2538	8.41737	8.83579	11.0059	10.8035	8.40983	10.4842	0	0	0	0	0	0
