id	NoAdaptersSRR925687_NoPcr__PE	NoAdaptersSRR925688_NoPcr__PE	NoAdaptersSRR925697_NoPcr__PE	NoAdaptersSRR925703_NoPcr__PE	NoAdaptersSRR925714_NoPcr__PE	NoAdaptersSRR925716_NoPcr__PE	NoAdaptersSRR925720_NoPcr__PE	NoAdaptersSRR925721_NoPcr__PE	NoAdaptersSRR925726_NoPcr__PE	NoAdaptersSRR934634_NoPcr__PE	NoAdaptersSRR934636_NoPcr__PE
ENSG00000071889.15	29.40	26.37	55.03	39.42	19.67	39.41	22.31	35.73	26.51	20.07	108.91
ENSG00000071894.13	69.07	43.87	77.36	67.39	25.69	169.30	99.84	137.19	97.19	78.47	238.25
ENSG00000071909.17	0.04	1.20	0.01	0.05	0.03	0.03	0.01	0.00	0.00	0.00	0.00
ENSG00000071967.10	14.67	24.89	13.56	1.77	13.74	12.12	20.99	16.83	41.03	8.24	60.82
ENSG00000071991.7	0.00	0.02	0.00	0.80	7.68	0.00	0.00	0.03	0.00	0.00	0.27
ENSG00000071994.9	20.25	33.44	38.52	38.08	31.02	36.38	46.36	43.77	61.19	31.74	31.29
ENSG00000072041.15	8.64	15.56	0.00	2.30	14.87	0.00	24.79	56.39	0.00	19.13	27.77
ENSG00000072042.11	57.83	36.24	27.62	41.51	50.36	42.55	40.88	28.70	51.79	91.26	46.56
ENSG00000072062.12	76.22	44.02	83.29	97.95	76.11	58.33	45.41	48.88	51.35	46.95	61.40
ENSG00000072071.15	3.18	15.12	34.44	31.94	14.96	32.76	4.38	4.01	7.44	17.87	46.70
ENSG00000072080.9	0.00	0.00	0.60	3.94	2.10	2.85	0.00	0.00	1.32	0.00	0.00
ENSG00000072110.12	291.30	122.35	376.30	252.89	289.12	394.85	207.15	252.05	177.87	390.70	291.97
ENSG00000072121.14	4.98	4.17	2.70	7.91	6.36	4.96	2.88	2.94	2.96	4.57	9.07
ENSG00000072133.9	2.20	1.16	0.01	0.10	2.54	0.04	0.00	0.00	0.00	0.02	0.04
ENSG00000072134.14	12.53	50.83	20.08	9.12	15.72	18.09	23.89	21.79	15.84	22.64	12.60
ENSG00000072135.11	38.64	24.46	13.06	17.39	12.97	25.37	21.72	23.54	19.55	26.59	44.22
ENSG00000072163.17	0.00	0.91	6.93	0.11	1.05	13.11	0.00	0.19	8.49	1.88	0.56
ENSG00000072195.13	24.05	19.18	12.62	27.06	16.38	31.65	10.79	15.27	4.57	19.39	10.74
ENSG00000072201.12	0.62	0.16	0.12	0.45	1.34	1.07	0.09	0.08	0.74	1.02	10.21
ENSG00000072210.17	103.45	148.18	43.28	92.62	14.26	20.32	85.40	76.01	26.28	53.46	18.11
ENSG00000072274.11	41.86	29.75	104.45	65.96	108.63	90.17	58.16	46.33	52.73	33.48	23.93
ENSG00000072310.15	125.17	160.70	47.15	104.83	42.12	37.67	54.00	62.76	75.51	119.68	114.13
ENSG00000072364.11	9.49	11.92	16.92	15.72	31.98	19.62	17.06	10.85	17.06	11.72	17.48
ENSG00000072401.13	2.50	2.66	7.94	10.17	11.32	2.09	7.35	5.23	8.22	3.14	2.27
ENSG00000072415.7	6.44	5.24	8.96	16.38	16.42	7.75	7.06	5.24	16.79	3.34	4.70
ENSG00000072422.15	1.46	0.51	0.53	0.46	5.95	1.57	0.60	3.44	1.27	2.10	1.53
ENSG00000072501.16	38.72	14.18	52.81	64.74	46.40	25.20	43.56	23.57	29.91	38.50	24.15
ENSG00000072506.11	142.05	131.43	186.81	81.94	99.67	74.52	97.38	105.60	68.61	146.27	104.81
ENSG00000072518.19	21.93	52.99	21.77	24.49	23.68	14.58	33.74	29.79	24.26	30.57	23.11
ENSG00000072571.18	16.44	14.15	10.74	80.42	26.74	5.81	17.60	1.55	5.31	3.35	1.94
ENSG00000072609.16	6.44	16.84	19.18	10.37	14.21	14.50	15.61	23.03	5.61	16.46	60.15
ENSG00000072682.17	51.57	50.73	42.98	39.50	25.63	52.88	34.17	59.39	16.27	74.76	21.62
ENSG00000072736.17	6.75	7.88	12.40	14.77	11.37	5.25	7.21	4.83	13.61	3.88	8.08
ENSG00000072756.15	10.57	5.16	18.84	13.10	26.47	7.71	6.06	4.79	8.08	5.14	8.87
