Id	TCGA-2V-A95S-01A-11R-A37K-07_LIHC_TP	TCGA-2Y-A9GS-01A-12R-A38B-07_LIHC_TP	TCGA-2Y-A9GU-01A-11R-A38B-07_LIHC_TP	TCGA-BC-A10Q-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10T-11A-11R-A131-07_LIHC_NT	TCGA-BC-A10W-11A-11R-A131-07_LIHC_NT	TCGA-3C-AAAU-01A-11R-A41B-07_BRCA_TP	TCGA-3C-AALJ-01A-31R-A41B-07_BRCA_TP	TCGA-3C-AALK-01A-11R-A41B-07_BRCA_TP	TCGA-A7-A0CE-11A-21R-A089-07_BRCA_NT	TCGA-A7-A0CH-11A-32R-A089-07_BRCA_NT	TCGA-A7-A0D9-11A-53R-A089-07_BRCA_NT
class	LIHC_TP	LIHC_TP	LIHC_TP	LIHC_NT	LIHC_NT	LIHC_NT	BRCA_TP	BRCA_TP	BRCA_TP	BRCA_NT	BRCA_NT	BRCA_NT
WDR93|56964	0	4	2	1	0	3	22.0582	9.0662	51.717	42.5397	18.8058	9.6741
WDSUB1|151525	274	338	158	29	65	83	262.9747	165.0045	176.6653	256.5079	150.0705	160.8961
WDTC1|23038	1884	3398	2066	1485	1114	1447	2557.3685	1609.2475	2136.5329	2365.0794	2615.5148	1949.0835
WDYHV1|55093	507	191	130	96	92	138	164.0576	344.515	234.1746	220	168.1241	127.8004
WEE1|7465	1029	2345	517	1565	648	5971	2347.4712	1637.3527	1086.8846	1754.6032	1739.9154	356.9246
WEE2|494551	1	0	2	0	0	0	1.7233	0	1.2619	1.6254	1.1283	2.5458
WFDC10A|140832	4	3	0	0	0	0	0	0	0	0	0	0
WFDC10B|280664	2	0	0	1	6	0	0	0	0.8275	0.3175	0	0
WFDC11|259239	0	0	0	0	0	0	0	0	0	0	0	0
WFDC12|128488	0	6	0	0	0	0	0	0	0	0.9524	0	0
WFDC13|164237	0	0	0	0	0	1	0	0.9066	0	0	0	0
WFDC1|58189	25	22	42	90	67	97	18.9562	27.1985	98.8829	55.873	16.5491	14.7658
WFDC2|10406	0	177	1	11	51	92	181.2905	1.8132	138.1878	2806.9841	1240.0564	35.6415
WFDC3|140686	2	2	2	2	2	1	7.2378	6.3463	4.1374	9.2063	9.4029	7.6375
WFDC5|149708	0	0	0	0	0	0	0	0	0	0.6349	0	1.0183
WFDC6|140870	0	0	0	0	0	0	0	0	0.8275	0.6349	3.385	0
WFDC8|90199	0	0	0	1	0	0	0	0	0	0	0.3761	0
WFDC9|259240	0	0	0	0	0	0	0	0	0	0	0	0
WFIKKN1|117166	3	18	16	11	2	21	16.5436	73.4361	17.7906	12.6984	4.5134	4.0733
WFIKKN2|124857	3	2	1	0	4	5	0	0	0.4137	4.127	6.394	8.6558
WFS1|7466	808	1529	6257	601	416	493	2720.0474	852.2212	3547.3728	1505.7143	2827.2685	2612.5255
WHAMML1|339005	161	137	90	91	72	112	169.5721	48.0508	57.923	84.127	127.8796	196.0285
WHAMML2|440253	51	64	40	25	22	34	80.3055	10.8794	25.2379	49.2063	45.8862	71.7923
WHAMM|123720	608	728	214	390	339	464	442.1973	246.6002	375.6723	394.2857	394.1702	297.8615
WHSC1L1|54904	405	1973	406	456	352	390	1826.0024	2401.6319	968.1423	955.2381	919.229	1679.2261
WHSC1|7468	1873	2156	2255	448	312	457	2075.1908	2071.6228	1715.3496	1006.0317	916.5961	1304.4807
WHSC2|7469	1176	758	1057	402	393	411	683.8031	1108.7942	940.8357	680.6349	655.1951	339.613
WIBG|84305	1719	1262	593	627	646	909	312.2609	746.1469	812.1638	607.3016	538.599	366.5988
